epoch,accuracy,loss,val_accuracy,val_loss
0,0.045407313853502274,5.905803203582764,0.14837905764579773,5.1417999267578125
1,0.30933085083961487,4.070994853973389,0.38487115502357483,3.338179111480713
2,0.5752285718917847,2.483591318130493,0.5548628568649292,2.3492021560668945
3,0.719451367855072,1.636214256286621,0.6284289360046387,1.867695689201355
4,0.8010182976722717,1.177755355834961,0.6774730086326599,1.5938451290130615
5,0.8476724624633789,0.9029883146286011,0.7098919153213501,1.4222831726074219
6,0.8896508812904358,0.7076292037963867,0.7186201214790344,1.3216325044631958
7,0.9150041341781616,0.5651562213897705,0.7310889363288879,1.2402980327606201
8,0.9384871125221252,0.457217812538147,0.7410640120506287,1.1696819067001343
9,0.9523067474365234,0.37247198820114136,0.7589359879493713,1.1359142065048218
10,0.9684122800827026,0.3035454750061035,0.7514547109603882,1.103582739830017
11,0.973399817943573,0.25082579255104065,0.7614297866821289,1.0796021223068237
12,0.9822319149971008,0.2067502737045288,0.7655860185623169,1.045098066329956
13,0.987427294254303,0.17248772084712982,0.7680798172950745,1.0240697860717773
14,0.9909601211547852,0.14306849241256714,0.7684954404830933,1.0289210081100464
15,0.9944929480552673,0.12172786891460419,0.7751454710960388,0.9910500049591064
16,0.9958437085151672,0.1027650311589241,0.7755610942840576,0.9964742660522461
17,0.9978179335594177,0.08840624988079071,0.7759767174720764,0.988222062587738
18,0.9980257749557495,0.07669494301080704,0.782626748085022,0.9817943572998047
19,0.9992726445198059,0.0665290579199791,0.778470516204834,0.9706895351409912
20,0.9988570213317871,0.05939750000834465,0.7817955017089844,0.971220850944519
21,0.9990648627281189,0.05316983535885811,0.7842893004417419,0.9624654650688171
22,0.9992726445198059,0.047155220061540604,0.7813798785209656,0.9607841968536377
23,0.9993765354156494,0.04297642409801483,0.7847049236297607,0.9647589921951294
24,0.9995843768119812,0.039080195128917694,0.780548632144928,0.9572073817253113
25,0.9995843768119812,0.035751886665821075,0.7842893004417419,0.9532109498977661
26,0.9992726445198059,0.03347130864858627,0.7842893004417419,0.9577447772026062
27,0.9994804859161377,0.030863558873534203,0.7851205468177795,0.9549785852432251
28,0.9994804859161377,0.028510095551609993,0.7834579944610596,0.9568284153938293
